Fecha;TCO;N. Comprobante;Cliente;CUIT;Neto;IVA;Exento;IVA Otros;Percep;ImpInternos;ImpInt 1;Perc. I.V.A.;Tasa Vial;IVA 10.5;Total;Resp;suc_marca
01/09/2020 00:00:00;FT;A.0010 00001135 a 00019524;;;179165,14;37624,59; ; ; ;40493,59;4041,97; ; ;;261325,29;;
01/09/2020 00:00:00;FT;A.0011 00001329 a 00001335;;;65925,13;13844,24; ; ; ;14238,08;1460,08; ; ;;95467,52;;
01/09/2020 00:00:00;FT;B.0010 00001785 a 00074506;;;119319,57;25057,1;433; ; ;22669,72;1466,64; ; ;;168946,03;;
01/09/2020 00:00:00;TI;B.0010 00023217 a 00023250;;;6885,95;1446,05; ; ; ; ; ; ; ;;8332;;
02/09/2020 00:00:00;FT;A.0010 00000898 a 00019552;;;253016,88;53133,46; ; ; ;55899,79;5803,62; ; ;;367853,75;;
02/09/2020 00:00:00;FT;A.0011 00001336 a 00001336;;;8214,82;1725,11; ; ; ;1738,46;155,96; ; ;;11834,36;;
02/09/2020 00:00:00;FT;B.0010 00000002 a 00074713;;;161253,58;33863,2;428; ; ;37001,36;2385,33; ; ;;234931,48;;
02/09/2020 00:00:00;TI;B.0010 00023251 a 00023287;;;6273,55;1317,45;15; ; ; ; ; ; ;;7606;;
03/09/2020 00:00:00;FT;A.0010 00000002 a 00019587;;;272834,95;57295,36; ; ; ;58457,78;6167,67; ; ;;394755,76;;
03/09/2020 00:00:00;FT;A.0011 00001337 a 00001338;;;17580,21;3691,84; ; ; ;1413,15;161,1; ; ;;22846,3;;
03/09/2020 00:00:00;FT;B.0010 00000002 a 00074949;;;157728,16;33112,61;388; ; ;31508,03;1995,95; ; ;;224732,75;;
03/09/2020 00:00:00;NC;A.0011 00000058 a 00000058;;;-1896,69;-398,31; ; ; ; ; ; ; ;;-2295;;
03/09/2020 00:00:00;TI;B.0010 00023288 a 00023321;;;5597,52;1175,48;15; ; ; ; ; ; ;;6788;;
04/09/2020 00:00:00;FT;A.0010 00000002 a 00019625;;;221729,52;46563,22; ; ; ;48831,15;4960,95; ; ;;322084,85;;
04/09/2020 00:00:00;FT;A.0011 00001339 a 00001341;;;3265677,13;685794,75; ; ; ;586457,25;66856,5; ; ;;4604785,63;;
04/09/2020 00:00:00;FT;B.0010 00000002 a 00075184;;;176609,01;37081,02;459; ; ;34368,19;2349,2; ; ;;250866,42;;
04/09/2020 00:00:00;TI;B.0010 00023322 a 00023357;;;7426,45;1559,55; ; ; ; ; ; ; ;;8986;;
05/09/2020 00:00:00;FT;A.0010 00000899 a 00019642;;;111205,37;23353,1; ; ; ;23026,43;2324,15; ; ;;159909,06;;
05/09/2020 00:00:00;FT;A.0011 00001342 a 00001342;;;14994,76;3148,91; ; ; ;2816,18;299,77; ; ;;21259,62;;
05/09/2020 00:00:00;FT;B.0010 00001798 a 00075376;;;169856,35;35666,37;135; ; ;30685,69;1993,51; ; ;;238336,92;;
05/09/2020 00:00:00;TI;B.0010 00023358 a 00023384;;;4106,61;862,39;15; ; ; ; ; ; ;;4984;;
06/09/2020 00:00:00;FT;A.0010 00001147 a 00019654;;;97141,87;20399,75; ; ; ;23682,8;2231,93; ; ;;143456,36;;
06/09/2020 00:00:00;FT;A.0020 00000065 a 00000065;;;727697,51;152816,48; ; ; ; ; ; ; ;;880513,99;;
06/09/2020 00:00:00;FT;B.0010 00012098 a 00075487;;;87494,47;18370,38;291; ; ;21824,24;1271,92; ; ;;129252,01;;
06/09/2020 00:00:00;TI;B.0010 00023385 a 00023386;;;628,1;131,9; ; ; ; ; ; ; ;;760;;
07/09/2020 00:00:00;FT;A.0010 00000002 a 00019690;;;163782,84;34394,35; ; ; ;38288,43;3715,22; ; ;;240180,83;;
07/09/2020 00:00:00;FT;A.0011 00001343 a 00001349;;;218742,44;45935,72; ; ; ;51879,1;5756,54; ; ;;322313,8;;
07/09/2020 00:00:00;FT;B.0010 00000002 a 00075701;;;126818,98;26608,01;510; ; ;24753,7;1390; ; ;;180080,69;;
07/09/2020 00:00:00;TI;B.0010 00023387 a 00023424;;;6872,07;1443,14;97; ; ; ; ; ; ;;8412,21;;
08/09/2020 00:00:00;FT;A.0010 00000002 a 00019719;;;188299,62;39542,92; ; ; ;42230,85;4074,16; ; ;;274147,54;;
08/09/2020 00:00:00;FT;A.0011 00001350 a 00001361;;;369429;77580,07; ; ; ;83804,62;9479,96; ; ;;540293,66;;
08/09/2020 00:00:00;FT;B.0010 00001813 a 00075925;;;171703,25;36054,2;620; ; ;33961,43;2464,49; ; ;;244803,38;;
08/09/2020 00:00:00;TI;B.0010 00023425 a 00023465;;;6932,23;1455,77;15; ; ; ; ; ; ;;8403;;
09/09/2020 00:00:00;FT;A.0010 00001153 a 00019756;;;276756,3;58118,7; ; ; ;64045;6540,71; ; ;;405460,71;;
09/09/2020 00:00:00;FT;A.0011 00001362 a 00001363;;;1057567,21;222088,45; ; ; ;196804,69;22435,86; ; ;;1498896,2;;
09/09/2020 00:00:00;FT;B.0010 00000002 a 00076171;;;143438,4;30115,19;314; ; ;29412,17;1754,68; ; ;;205034,45;;
09/09/2020 00:00:00;NC;A.0011 00000059 a 00000059;;;-298256,71;-62633,95; ; ; ;-69621,19;-7936,86; ; ;;-438448,7;;
09/09/2020 00:00:00;TI;B.0010 00023466 a 00023497;;;5985,47;1253,53;71; ; ; ; ; ; ;;7310;;
10/09/2020 00:00:00;FT;A.0010 00000900 a 00019784;;;209312,56;43955,61; ; ; ;42654,97;4311,97; ; ;;300235,1;;
10/09/2020 00:00:00;FT;A.0011 00001364 a 00001366;;;926162,4;194493,61; ; ; ;162512,25;18526,5; ; ;;1301694,77;;
10/09/2020 00:00:00;FT;B.0010 00001818 a 00076392;;;132136,52;27745,22;532; ; ;26088,71;1481,74; ; ;;187984,19;;
10/09/2020 00:00:00;TI;B.0010 00023498 a 00023527;;;6166,93;1291,63; ; ; ; ; ; ; ;;7458,56;;
